Model,Product Type,Category,Voice Remote Compatible,Voice Remote Pro Compatible,Apple AirPlay,Apple HomeKit,Min Roku OS AirPlay/HomeKit,4K Support,HDR Support,Dolby Vision Support,Bluetooth Audio Streaming,Bluetooth Headphone Mode,Ethernet Adapter Support,Apple TV Channel,Gaming Console Compatible,Google Assistant,Amazon Alexa,Netflix Games on TV,Ambient Light Sensor,Fast TV Start,HDMI-CEC Support,Compatible Ethernet Adapters,Wireless Speakers Compatible,Wireless Bass Compatible,Remote Finder Feature,Rechargeable Remote,Hands-Free Voice,Mobile App Compatible,Lost Remote Finder Button,Built-in Ethernet,WiFi Required,Power Requirements,Battery Powered,Charge Time,Battery Life,WiFi Type,Smart Home App Required,Pro Monitoring Available,Works with Roku TV Only,Max Range,Weatherproof Rating,Video Resolution,Night Vision,Two-Way Audio,Motion Detection,Sound Detection,Cloud Recording with Subscription,Smart Detection,Siren Feature,MicroSD Support
A000X,Roku TV,Television,Yes,Varies,Yes,Yes,9.4,Varies,Varies,Varies,Varies,Varies,No,Yes,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes (some models),Yes (some models),Varies,No,No,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
6000X,Roku TV,Television,Yes,Varies,Yes,Yes,9.4,Varies,Varies,Varies,Varies,Varies,No,Yes,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes (some models),Yes (some models),Varies,No,No,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
5XXX,Roku TV,Television,Yes,Varies,Yes,Yes,10.0,Varies,Varies,Varies,Varies,Varies,No,No,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes (some models),Yes (some models),Varies,No,No,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
G000GB,Roku TV,Television,Yes,Yes,Yes,Yes,N/A,Yes,Varies,Varies,Varies,Varies,No,Yes,Yes,Yes,Yes,Yes,Varies,Yes,Yes,No,Yes (some models),Yes (some models),Yes,Varies,Varies,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
G000X,Roku TV,Television,Yes,Yes,Yes,Yes,N/A,Yes,Varies,Varies,Varies,Varies,No,Yes,Yes,Yes,Yes,Yes,Varies,Yes,Yes,No,Yes (some models),Yes (some models),Yes,Varies,Varies,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R4CX,Roku Select Series 4K (2025),Television,Yes,Yes,Yes,Yes,N/A,Yes,Varies,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R2CX,Roku Select Series (2025),Television,Yes,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R6CX,Roku Plus Series (2025),Television,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R8CX,Roku Pro Series (2025),Television,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Find Remote Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R8BX,Roku Pro Series (2025),Television,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Find Remote Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
SCB11X,Roku Battery Camera,Smart Home Camera,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,5V/2A USB charging,Yes,2-5 hours,Up to 6 months,2.4GHz + WiFi 6,Yes,No,No,N/A,IP65,1080p Full HD,Color Night Vision,Yes,Yes,Yes,Yes,Yes (Person/Pet/Object),No,No
SCB12R,Roku Battery Camera Plus,Smart Home Camera,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,5V/2A USB charging,Yes,8-20 hours,Up to 2 years,2.4GHz + WiFi 6,Yes,No,No,N/A,IP65,1080p Full HD,Color Night Vision,Yes,Yes,Yes,Yes,Yes (Person/Pet/Object),No,No
CP1000,Roku Indoor Camera 360Â° SE,Smart Home Camera,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,5V/2A USB or AC adapter,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,No,Full HD,Color Night Vision,Yes,Yes,Yes,Yes,Yes (Person/Pet/Object),Yes (Intruder Siren),Yes (MicroSD)
SCW11X,Roku Outdoor Wired Camera (Latest),Smart Home Camera,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,12.5ft cable + AC adapter,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,IP65,Full HD,Color Night Vision,Yes,Yes,Yes,Yes,Yes (Person/Pet/Package/Vehicle),Yes (Intruder Siren),No
SCW11R,Roku Outdoor Wired Camera (WDR),Smart Home Camera,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,12.5ft cable + AC adapter,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,IP65,Full HD,Color Night Vision + WDR,Yes,Yes,Yes,Yes,Yes (Person/Pet/Package/Vehicle),Yes (Intruder Siren),No
DS1000,Roku Video Doorbell & Chime SE,Smart Home Doorbell,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,16-24V/10VA hardwired,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,No,Full HD,Color Night Vision,Yes,Yes,Yes,Yes,Yes (Person/Pet/Object),No,No
DB1000R,Roku Wire-free Video Doorbell & Chime SE,Smart Home Doorbell,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,Internal Li-ion battery or 16-24V hardwired,Yes,4 hours,3-6 months,2.4GHz,Yes,No,No,N/A,No,Full HD,Color Night Vision,Yes,Yes,Yes,Yes,Yes (Person/Pet/Object),No,No
SL16SE,Roku Smart Light Strip SE (16ft),Smart Home Lighting,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,12V power adapter,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
SL32SE,Roku Smart Light Strip SE (32ft),Smart Home Lighting,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,12V power adapter,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
SL16PLUS,Roku Smart Light Strip+ SE (16ft),Smart Home Lighting,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,12V power adapter,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
SL32PLUS,Roku Smart Light Strip+ SE (32ft),Smart Home Lighting,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,12V power adapter,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
PS1000,Roku Indoor Smart Plug SE,Smart Home Plug,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,120V/15A AC outlet,No,N/A,N/A,2.4GHz,Yes,No,No,N/A,No (Indoor only),N/A,No,No,No,No,No,No,No,No
PW1000,Roku Outdoor Smart Plug SE,Smart Home Plug,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,120V/15A GFCI outlet,No,N/A,N/A,2.4GHz,Yes,No,No,300ft range,Yes (Weatherproof),N/A,No,No,No,No,No,No,No,No
HMS-SE,Roku Home Monitoring System SE,Smart Home Security,No,No,No,No,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes (Smart Home App),No,No,Yes,Micro-USB + AC adapter or Ethernet,No,N/A,N/A,2.4GHz,Yes,Yes (Noonlight),No,N/A,No,N/A,No,No,No,Yes (sensors),No,No,No,No
9020R2,Roku Wireless Speakers,Audio Accessory,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,No,No,Yes,No,No,Yes,AC Power per speaker,No,N/A,N/A,2.4GHz,No,No,Yes (Roku TV/Streambar/Soundbar),30ft range,No,N/A,No,No,No,No,No,No,No,No
9030,Roku TV Wireless Speakers,Audio Accessory,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,No,No,Yes,No,No,Yes,AC Power per speaker,No,N/A,N/A,2.4GHz,No,No,Yes (Roku TV only),30ft range,No,N/A,No,No,No,No,No,No,No,No
9040,onn. Roku Wireless Surround Speakers,Audio Accessory,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,No,No,Yes,No,No,Yes,AC Power per speaker,No,N/A,N/A,2.4GHz,No,No,Yes (Roku TV/Streambar/Soundbar),30ft range,No,N/A,No,No,No,No,No,No,No,No
WB-ROKU,Roku Wireless Bass,Audio Accessory,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,2.4GHz,No,No,Yes (Roku TV/Streambar/Soundbar),30ft range,No,N/A,No,No,No,No,No,No,No,No
WBP-ROKU,Roku Wireless Bass Pro,Audio Accessory,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,2.4GHz,No,No,Yes (Roku TV/Streambar/Soundbar),30ft range,No,N/A,No,No,No,No,No,No,No,No
TVWSB,Roku TV Wireless Soundbar,Audio Accessory,No,No,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,No,No,Yes,No,No,Yes,AC Power,No,N/A,N/A,2.4GHz,No,No,Yes (Roku TV only),N/A,No,N/A,No,No,No,No,No,No,No,No
R2CX,Roku Select Series (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R4CX,Roku Select Series 4K (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,Yes,Varies,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R6CX,Roku Plus Series (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Varies,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Panel Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R8CX,Roku Pro Series (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Find Remote Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
R8BX,Roku Pro Series (2025),Roku TV,Yes,Yes,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Find Remote Button,No,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
5XXX-Series,Legacy HD/FHD TVs (2015-2017),Roku TV,Yes,No,Limited,Limited,10.0+,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Varies,No,Yes,No,Limited,Limited,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
6XXX-Series,Early UHD TVs (2016-2017),Roku TV,Yes,No,Yes,Yes,9.4,Yes,Yes,Varies,No,No,No,Yes,Yes,Yes,Yes,No,Varies,Varies,Yes,No,Some Models,Some Models,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
7XXX-Series,Mainstream UHD TVs (2017-2019),Roku TV,Yes,No,Yes,Yes,9.4,Yes,Yes,Varies,Varies,Varies,No,Yes,Yes,Yes,Yes,No,Varies,Varies,Yes,No,Some Models,Some Models,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
8XXX-Series,Midrange HD/FHD TVs (2017-2020),Roku TV,Yes,No,Varies,Varies,9.4 or 10.0,Varies,Varies,No,No,No,No,Yes,Yes,Yes,Yes,No,Varies,Varies,Yes,No,Limited,Limited,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
AXXX-Series,Reno Platform UHD (2020-2021),Roku TV,Yes,Possibly,Yes,Yes,9.4,Yes,Yes,Varies,Likely,Varies,No,Yes,Yes,Yes,Yes,Varies,Varies,Likely,Yes,No,Yes,Yes,Varies,Varies,Varies,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
CXXX-Series,Malone Platform UHD (2019-2021),Roku TV,Yes,Possibly,Yes,Yes,9.4,Yes,Yes,Varies,Varies,Varies,No,Yes,Yes,Yes,Yes,Varies,Varies,Varies,Yes,No,Yes,Yes,Varies,Varies,Varies,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
DXXX-Series,Roma Platform HD/FHD (2020-2021),Roku TV,Yes,No,Varies,Varies,9.4,Varies,Varies,No,No,No,No,Yes,Yes,Yes,Yes,No,Varies,Varies,Yes,No,Some Models,Some Models,Varies,No,No,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
EXXX-Series,Bandera 8K Platform (2021),Roku TV,Yes,Yes,Yes,Yes,9.4,Yes,Yes,Yes,Yes,Likely,No,Yes,Yes,Yes,Yes,Varies,Varies,Likely,Yes,No,Yes,Yes,Varies,Varies,Varies,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
GXXX-Series,Athens Platform UHD (2021-2022),Roku TV,Yes,Possibly,Yes,Yes,9.4,Yes,Yes,Varies,Likely,Likely,No,Yes,Yes,Yes,Yes,Varies,Varies,Likely,Yes,No,Yes,Yes,Varies,Varies,Varies,Yes,Varies,Varies,Yes,AC Power,No,N/A,N/A,N/A,No,No,No,N/A,No,N/A,No,No,No,No,No,No,No,No
